CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,REX ALAN SLATE,1315 SHOALS ROAD,,PINNACLE,NC,27043,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,THOMAS S. EDMONDS,7589 CEDAR SQUARE RD,,RANDLEMAN,NC,27317,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,"BRUCE MILTON CREWS, JR.",1320 CREWS LANE,,HENDERSON,NC,27537,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,WARREN SLOAN,1430 S.N.C. HWY 111,,CHINQUAPIN,NC,28521,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,TERRY ALLEN,101 JOHN ALLEN ROAD,,ROXBORO,NC,27573,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,VAUGHN COMPTON,1002 HURDLE MILLS ROAD,,CEDAR GROVE,NC,27231,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,SHARON BUTLER,5762 RASCOE DAMERON RD.,,BURLINGTON,NC,27217,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,RICHARD B. TODD,816 SANDY HILL FARMS LN,,WENDELL,NC,27591,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,MICHAEL OAKES,4158 OLD ROUTE 75,,STEM,NC,27581,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,EDWIN V. BATCHELOR,4283 SOUTH NC 58,,NASHVILLE,NC,27856,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,PAUL G. HATLEY,888 JOHN ROGERS RD.,,HURDLE MILLS,NC,27541,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,JEFFREY N. LETCHWORTH,7928 NC HWY 91 S,,WALSTONBURG,NC,27888,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,SARAH CARRAWAY,5517 HWY 58 SOUTH,,WILSON,NC,27893,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,JOSEPH (JOE) C. HAYWORTH,265 HAYWORTH ROAD,,HIGH POINT,NC,27265,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,ROBERT BLAKE LANE,1070 PAYTON DANIELS ROAD,,SALEMBURG,NC,28385,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,"JOHN E. ASHE, JR.",2106 IRONWORKS RD.,,REIDSVILLE,NC,27320,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,ERIC WAYNE BENNETT,1821 TAYLOR ROAD,,WESTFIELD,NC,27053,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,TODD STANLEY,259 WILLIE PACE RD.,,BURLINGTON,NC,27217,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,40,9.87,Hour,Vass,NC,
H-300-14050-670672,2014-03-20,H-2A,2014-02-20,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-11-08,2014-04-17,2014-11-08,"WILLIAM W. BURROUGHS, JR.",1376 OLD WATKINS ROAD,,HENDERSON,NC,27537,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,40,9.87,Hour,Vass,NC,
H-300-14050-677178,2014-03-19,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-04-15,2014-11-15,2014-04-15,2014-11-15,"Bybee Farms, LLC",12096 South Snake River Road,N/A,Rexburg,ID,83440,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,48,10.69,Hour,Rexburg,ID,Individual Employer
H-300-14050-684612,2014-03-25,H-2A,2014-02-19,DETERMINATION ISSUED - CERTIFICATION,2014-04-12,2014-12-31,2014-04-12,2014-12-31,Landis McDonald,14695 County 1,,Bathgate,ND,58216,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Ag. Equipment Operator,45-2091,Agricultural Equipment Operators,2,48,13.41,Hour,Neche,ND,Individual Employer
H-300-14050-685270,2014-03-19,H-2A,2014-02-19,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-12-20,2014-04-17,2014-12-20,JAMES SHARP,7802 SADIE ROAD,,KENLY,NC,27542,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",36,40,9.87,Hour,Vass,NC,
H-300-14050-685270,2014-03-19,H-2A,2014-02-19,DETERMINATION ISSUED - CERTIFICATION,2014-04-17,2014-12-20,2014-04-17,2014-12-20,NCGA,"NCGA, Inc 230 Cameron Ave Vass, NC 28394 Post Office Box 399",See Addendum For NCGA Members Names and Addresses,Vass,NC,28394,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",36,40,9.87,Hour,Vass,NC,Association - Joint Employer (H-2A Only)
H-300-14050-706433,2014-03-25,H-2A,2014-03-10,DETERMINATION ISSUED - CERTIFICATION,2014-04-25,2014-11-01,2014-04-25,2014-11-01,"WARD BROTHERS, INC.",PO Box 362,"3656 North 5000 East, Sugar City, ID 83448",Teton City,ID,83451,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,48,10.69,Hour,Sugar City,ID,Individual Employer
H-300-14050-730764,2014-03-12,H-2A,2014-02-26,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-04-15,2014-06-01,2014-04-15,2014-06-01,"Blaine Larsen Farms, Inc.",PO Box 188,2379 East 2300 North,Hamer,ID,83425,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Equipment Operator/Farmworker,45-2091,Agricultural Equipment Operators,15,48,10.69,Hour,Hamer,ID,Individual Employer
H-300-14050-745657,2014-03-26,H-2A,2014-02-19,DETERMINATION ISSUED - CERTIFICATION,2014-04-25,2015-01-01,2014-04-25,2015-01-01,FOUR P'S FARMS,7070 EBENEZER OVIL RD,,HOPKINSVILLE,KY,42240,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4,40,10.1,Hour,HOPKINSVILLE,KY,Individual Employer
H-300-14050-784934,2014-03-25,H-2A,2014-02-27,DETERMINATION ISSUED - CERTIFICATION,2014-04-15,2014-11-15,2014-04-15,2014-11-15,Wooden Shoe Farms,673 North 825 West,N/A,Blackfoot,ID,83221,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Farm/Irrigation/Livestock Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,48,10.69,Hour,Blackfoot,ID,Individual Employer
H-300-14050-837939,2014-03-28,H-2A,2014-02-27,DETERMINATION ISSUED - CERTIFICATION,2014-05-01,2014-12-31,2014-05-01,2014-12-31,BRADLEY K. BRUNSON,100 Smith Road,,Hopkinsville,KY,42240,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2,40,10.1,Hour,HOPKINSVILLE,KY,Association - Filing as Agent (H-2A Only)
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,WESTERN RANGE ASSOCIATION,"1245 E. BRICKYARD ROAD, SUITE 190",,SALT LAKE CITY,UT,84106,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",59,40,750,Month,Casa Grande,AZ,Association - Joint Employer (H-2A Only)
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,PEDRO MARIA INDACOCHEA,3626 RESERVOIR,,LAKEVIEW,CA,92555,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,FRANK SHIRTS,29511 REDTOP ROAD,,WILDER,ID,83676,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,MANTEROLA SHEEP,20625 WEST CLAYTON ROAD,,CASA GRANDE,AZ,85122,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,GREEN GOAT RESTORATION LLC,"HIGHWAY 95, WILLOW CREEK RANCH",,ORVADA,NV,89425,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,ETCHART LIVESTOCK INC,13621 5875 ROAD,,MONTROSE,CO,81403,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,CANYON CATTLE COMPANY,138 BRUST CREEK ROAD,,IDAHO COUNTY,ID,83544,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,WADE JENSEN,1520 NORTH SR 155,,CLEVELAND,UT,84518,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,JOHN ESPIL SHEEP COMPANY,400 MEADOW ROAD,,LOVELOCK,NV,89419,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,MEADOW CREEK SHEEP RANCHES,1035 WOODFELL LANE,,HARVARD,ID,83834,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,EMILIO CALZADA,4016 SOUTH DERRIK AVENUE,,MENDOTA,CA,93640,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,NAPA VALLEY LAMB COMPANY INC,HIGHWAY 37 AND HIGHWAY 121,,SONOMA,CA,95476,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,GEORGE G. SANDBERG,2773 SUNSHINE ROAD,,ROSEBURG,OR,97470,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,LADDER LIVESTOCK COMPANY LLC,489 CARBON COUNTY ROAD 710,,SAVERY,WY,82332,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,SOUTHERN NEVADA WATER AUTHORITY,HC 10 BOX 10853,,ELY,NV,89301,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,ROBERT WEIR SHEEP COMPANY,470-100 BUFFUM LANE,,SUSANVILLE,CA,96130,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,THE BAIR COMPANY,41 FINDON LANE,,MARTINSDALE,MT,59053,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,STEPHEN ELGORRIAGA,13377 ROAD 18 1/2,,MADERA,CA,93637,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,TOM THOMPSON,9230 RECTOR LEADER ROAD,,BYERS,CO,80103,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,JONES RANCH LLC,681 JONES RANCH LANE,,CONRAD,MT,59425,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,DAVID ROGERS,381 NORTH 200 WEST,,RUPERT,ID,83350,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,AMADOR ZABALBEASCOA,DIANA ROAD,,LOS BANOS,CA,93635,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,VANWELL LIVESTOCK INC,17480 454TH AVENUE,,WATERTOWN,SD,57201,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,BOX L RANCH LLC,1808 EAST 20280 NORTH,,MORONI,UT,84646,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,SILVIES VALLEY RANCH,40000 E. COWBOY LANE,,SENECA,OR,97873,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,CARRIE A. MAREK,259 SLATE CREEK,,WHITE BIRD,ID,83554,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,MARTIN AUZA SHEEP COMPANY,4451 DIETRICH ROAD,,BRAWLEY,CA,92227,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,PICKETT RANCH & SHEEP COMPANY INC,568 WEST 1650 SOUTH,,OAKLEY,ID,83346,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,FAULKNER LAND & LIVESTOCK COMPANY INC,1989 SOUTH 1875 EAST,,GOODING,ID,83330,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,LIVING SYSTEMS LAND & MANAGEMENT,30444 JAYNE AVENUE,,COALINGA,CA,93210,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,BALL BROTHERS SHEEP COMPANY,2583 EAST 2100 NORTH,,HAMER,ID,83425,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,I.O.U. SHEEP COMPANY,14384 AVENUE 272,,VISALIA,CA,93292,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,ETCHAMENDY SHEEP COMPANY INC,24394 HIGHWAY 46,,WASCO,CA,93280,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,RAYMOND A. TALBOTT,20654 WEST HENRY MILLER ROAD,,LOS BANOS,CA,93635,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,CUNNINGHAM SHEEP COMPANY,65856 YELLOW JACKET ROAD,,PILOT ROCK,OR,97868,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,WENTZ RANCH,63147 BEAR CREEK ROAD,,PILOT ROCK,OR,97868,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-851201,2014-04-10,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-05-10,2015-05-09,2014-05-10,2015-05-09,AUZA RANCHES LLC,843 WEST COTTONWOOD LANE,,CASA GRANDE,AZ,85122,,,,,SHEEPHERDER,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,40,750,Month,Casa Grande,AZ,
H-300-14050-891063,2014-03-11,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-04-15,2014-12-15,2014-04-15,2014-12-15,A-K Moyle Ranch,3539 S. 1500 E.,,Wendell,ID,83355,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Farm/Irrigation/Livestock Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",1,48,10.69,Hour,Wendell,ID,Individual Employer
H-300-14050-899063,2014-03-13,H-2A,2014-02-28,DETERMINATION ISSUED - CERTIFICATION,2014-04-15,2014-10-15,2014-04-15,2014-10-15,"D & K Hale Farms, LLC",270 South 600 West,N/A,Heyburn,ID,83336,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",4,48,10.69,Hour,Heyburn,ID,Individual Employer
H-300-14050-982677,2014-03-31,H-2A,2014-02-27,DETERMINATION ISSUED - CERTIFICATION,2014-05-01,2015-02-28,2014-05-01,2015-02-28,BOARD INVESTMENTS USA LLC,1180 Hill Grove Road,,Guston,KY,40142,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",12,40,10.1,Hour,Guston,KY,Association - Filing as Agent (H-2A Only)
